Gene names,2015 Dill Mannan Early
Capn5,0.675756635
Capns1,1.076093351
Caprin1,1.264166699
Capza1,0.828983328
Capza2,0.827796676
Capzb,0.926773338
Cast,1.064393341
Cat,0.710956736
Cbl,0.871099991
Cbr2,0.286516673
Cbx3,0.586700001
Cc2d1b,0.500756661
Ccdc115,1.022776685
Ccdc12,1.123409974
Ccdc22,0.885976649
Ccdc50,0.3386
Ccdc53,0.375133316
Ccdc75,0.914803337
Ccdc88b,0
Ccdc93,0.93652999
Cct2,1.058366713
Cct3,1.159243356
Cct4,0.608659978
Cct5,1.180293348
Cct6a,0.392066668
Cct7,0.771253328
Cct8,1.053233334
Ccz1,0.844313311
Cd14,2.108699779
Cd151,1.216299977
Cd180,0.72411
Cd1d1;Cd1d2,0.724610001
Cd200r1,1.324999989
Cd2ap,0
Cd300a,1.853899778
Cd300lh;OTTMUSG00000003606,1.374500007
Cd36,1.219099951
Cd44,1.974800018
Cd47,1.682066681
Cd48,1.157166633
Cd5l,1.183333317
Cd63,0.746023342
Cd68,0.543526654
Cd72,1.538833382
Cd74,0.894959997
Cd81,1.092153331
Cd82,0.685820003
Cd84,1.972033101
Cd9,2.142166845
Cd93,2.015499883
Cdc42,1.330233334
Cdc42bpb,1.549933297
Cdc42ep4,0.832149982
Cdca3,1.389966649
Cdipt,0.162846712
Cdk1,1.35316666
Cdk14,0.279086665
Cdk18,1.024896654
Cdk2;Cdk3,0.355666677
Cdk5,1.146266661
Cdkn1b,0
Cds2,0.328263343
Cenpe,0
Cep41;Tsga14,0.75776997
Cep55,0.280869992
Cers2;Lass2,0.314463337
Cfl1,1.376799999
Cfp,0.205116663
Chchd3,0.523183344
Chd4,0.904399998
Chd6,0
Chi3l3,0.526823386
Chi3l4,0.142776703
Chmp1a,0.888213314
Chmp2a,1.074886646
Chmp2b,1.242266695
Chmp4b,0.777036658
Chmp5,0.721003329
Chmp6,1.157750011
Cisd1,0.736666478
Cisd2,0.801946689
Ckap4,1.054053362
Ckap5,1.276166647
Ckb,0.917653355
Clcn5,1.32106665
Clcn6,0
Clcn7,0.800250005
Clec10a;Mgl1;Mgl2,1.364866712
Clec12a,1.493666651
Clec4e,0
Clic1,0.998406682
Clint1,1.794500303
Cln3,0.879573344
Cln5,0.578893294
Clptm1,0.210873323
Clrn2,0.304273332
Clta,0.910266657
Cltc,0.843509978
Cmtm6,1.721233304
Cndp2,1.012843363
Cnn2,0.875000005
