Gene names,2015 Dill Calreticulin Early
Hist1h2af;Hist1h2ab;Hist3h2a;Hist1h2ah,0.9118233
Hist1h3b;Hist1h3a,0.70964001
Hist1h4a,0.898946697
Hist2h2aa1;Hist1h2al;Hist2h2ac,0.985263296
Hist3h2bb;Hist3h2ba,0
Hk1,0.728349999
Hk2,0.656093329
Hm13;H13,0.483779992
Hmga1,0
Hmga2,0
Hmgb1,0.909776641
Hmgb2,0.909823348
Hmgcl,0.797823335
Hmgn2,0
Hmha1,0.860199986
Hmox1,0.902206677
Hmox2,0.776116669
Hn1l,0.376700016
Hnrnpa0,0.967576656
Hnrnpa1,1.21103001
Hnrnpa2b1,1.267766687
Hnrnpa3;Gm6793;Gm8991,0.939316689
Hnrnpab,1.243399977
Hnrnpc,0.524630052
Hnrnpd,0.624920003
Hnrnpf,2.004676315
Hnrnph1,1.335899957
Hnrnpk;Gm7964,1.716756996
Hnrnpl,1.088946645
Hnrnpm,1.158076679
Hnrnpu,0.731686665
Hp1bp3,0.589849986
Hpcal1;Hpca,1.055443318
Hps1,0.420703343
Hps3,0.240026666
Hps4,1.113460013
Hpse,0.781283345
Hras1,1.169266656
Hs2st1,0.314413328
Hsd17b10,0.87060005
Hsd17b11,0.733163315
Hsd17b12,0.833986684
Hsd17b4,0.768716675
Hsdl1,0.721576671
Hsp90aa1,1.297490019
Hsp90ab1,1.10598001
Hsp90b1,0.823430007
Hspa4,0.995919989
Hspa5,0.992889997
Hspa8,1.093833379
Hspa9,0.777310027
Hspd1,0.785246649
Hspe1,0.961210016
Hspg2,0.262693277
Htatip2,0.953163355
Hvcn1,1.319599989
Hyal1,0.896669973
Hyou1,0.778656656
Icam1,1.811966714
Idh1,0.835343295
Idh2,0.914100033
Idh3a,1.1084266
Idh3b,0.065636654
Idh3g,0
Ids,1.323299988
Idua,0.663293355
Ifi204,1.09631001
Ifi205b,0.945696671
Ifi30,0.761906667
Ifit1,0.314719996
Ifitm2,1.224890026
Ifitm3,1.503799995
Ifngr1,1.116710008
Igbp1,0
Igf2r,1.174103314
Igsf6,0.698933208
Igtp,0.756406681
Il16,0.816156647
Ilk,0.965179989
Ilvbl,0
Inf2,1.265166666
Inpp5d,1.209366674
Iqgap1,1.009136677
Iqgap2,0
Irf2bp2,1.078153314
Irgm1,0.799536665
Irgm2,1.102823348
Isg15,0.930126676
Isg20,0.296626665
Ist1,0.98345333
Itch,0.275883332
Itga4,1.788866627
Itga5,1.700933165
Itga6,1.529500041
Itgam,1.987666686
Itgav,1.558799981
Itgax,1.960566377
Itgb1,1.369600016
Itgb2,1.441066691
Itgb5,1.585166772
Itm2b,1.223670024
Itsn2,1.450366645
Jak1,1.520499965
Jup,0.463589978
Kat2a,0.527799979
Kcnab2,0
Kcnk6,0.502443329
Kcnn4,0.833443363
Kctd12,0.815056701
Kdelr1,0.913166686
Kdm1a,0
Kdm3b,0.769523315
Khdrbs1,0.715459998
Khsrp,0.829933357
Kiaa0196,0.948936676
Kiaa0226;1700021K19Rik,0.728133313
Kiaa0907,0.316236676
Kiaa1033,1.009799992
Kiaa1598,0
Kiaa1671,0.463466671
Kif13b,0.207936669
Kif16b,1.325766648
Kif1a,0.439466683
Kif5b,0.693703321
Kpnb1,1.263066673
Kras,1.321000031
Krt28;Krt24,14.30603324
Krt76,8.408265899
Lamp1,0.819819979
Lamtor1,1.010610033
Lamtor2,0.725320001
Lamtor3,0.775020007
Lancl1,0
Laptm5,0.860620026
Lasp1,1.779899829
Lat2,0.520299995
Lbr,1.022933342
Lcp1,1.184900011
Lcp2,1.328733362
Ldha,1.050916672
Ldlr,1.182133344
Lgals1,1.014720022
Lgals3,1.130119976
Lgals3bp,0.929913327
Lgals3bpF6VRP8,0.693993325
Lgals8,0.857539976
Lgals9,0.844909986
Lgmn,0.778966666
Lig1,0.796856706
Lilrb3,1.991233476
Lilrb4,1.893899763
Lima1,0
Limd2,0.747519978
Lims1,0.36306667
Lin7c;Lin7a,0.665199966
Lipa,0.788556662
Lman1,0.795889987
Lman2,0.887233337
Lmbrd1,0.801746647
Lmbrd2,0.904443337
Lmna,1.054389996
Lmnb1,1.015403323
Lmnb2,0.952663342
Lnpep,1.192096677
Loh12cr1,0.618786683
Lpcat2,0.46165998
Lpl,1.278133321
Lrp1,1.413899977
Lrp1b,1.33286666
Lrpap1,0.997986704
Lrpprc,0.437700003
Lrrc25,1.916166745
Lrrc57,0.980750022
Lrrc59,0.785730005
Lrrc8c,0
Lsp1,1.790566374
Lss,1.027969964
Ly86,0.682893309
Ly9,1.732999871
Lyn,1.757433191
Lypla2,0
Lyz1,0.578979979
Lyz2,0.762039999
M6pr,1.373433307
Macf1,0.911523334
Magt1,0.449033349
Man1a1,0.753569979
Man1c1,0.787766665
Man2a1,0.763103344
Man2b1,0.848856664
Man2b2,0.88968002
Manba,0.832116665
ManbaQ8K2I4,0.689896671
Manf,0.832166696
Map1s,0.556513336
Map2k1;Map2k2,0.970033313
Map2k4,0
Map3k11,1.064200003
Map4;Mtap4,1.126433328
Mapre1,0.822899997
Marc2;Mosc2,0.164676717
Marcks,0.720780005
Marcksl1,0.573220002
Mark2,0
Matr3,0.615830007
Mavs,0
Mboat7,0.428783321
Mbp,0.897629999
Mcl1,1.128999927
Mcoln1,0.236156655
Mcoln2,0.289333324
Mdh1,1.263216664
Mdh2,0.722473325
Me2,0
Mef2bnb;2310045N01Rik,0.513630025
Mesdc2,0
Mettl3,0
Mettl7a1;Mettl7a2-Higd1c;Ubie;Mettl7a2;Mettl7a3;AB099516,0.851640009
Mfge8,1.341933331
Mfsd1,0.828933306
Mfsd12,0.71692999
Mfsd7,0
Mfsd8,0.671230003
Mgat1,0
Mgp,0.477666663
Mia3,0.695630014
Mic1,0.83069001
Milr1,1.876876202
Mki67,1.035396659
Mlec,0.857593357
Mlst8,0
Mob1b;Mob1a,0.294323328
Mob4,1.070646667
Mon1a,0.996306686
Mon1b,0.79137334
Mpdu1,0
Mpeg1,0.788620005
Mpo,0.76725333
Mpp1,1.239733323
Mrc1,1.36989997
Ms4a4c,1.142496657
Msn,1.933833265
Msr1,1.531666684
Msra,0.296933341
Mtatp8;mt-Atp8,0.361200025
Mtch2,0.921436637
Mtco1;mt-Co1,0.406753314
Mtco2;mt-Co2,0.767130017
Mtdh,0.77157666
Mtss1,1.065189973
Mvp,0.918246666
Myadm,2.256100174
Myh14,1.138099989
Myh9,1.193459997
Myl12a;Myl12b;Myl9,1.220983324
Myl3;Myl1,1.539613257
Myl6,1.384633307
Myo1c,0.882466653
Myo1e,0.689593276
Myo1f,1.048083348
Myo1g,1.280693334
Myo5a,0.993296668
Myof,1.090546672
Naaa,0.565919992
Naca,0.801813333
Naga,1.007923306
Naglu,0.802456666
Nagpa,1.311733366
Nap1l1,0.34286666
Napa,1.105133348
Napg,1.015153347
Napsa,0.602293304
Nceh1,0.872256686
Ncf1,0.592086676
Ncf2,0.979700376
Nckap1l,1.437666659
Ncl,0.698333326
Ncoa3,0.601863331
Ncor1,0.759166638
Ncstn,0.672199987
Nde1;Ndel1,0.104093328
Ndufa10,0
Ndufa4,0.71422
Ndufa6,0
Ndufc2,0
Ndufs1,0.564736662
Ndufs2,0.224250001
Ndufs3,0
Ndufv1,0.266629996
Ndufv2,0
Neb,0.472873352
Necap2,1.313100002
Nek2,1.230590024
Neu1,0.823909985
Nfam1,1.47523332
Nfatc2ip,0.358943325
Nhlrc3,0.962976672
Nhp2l1,0
Nhsl2,0.215959996
Nin,1.008993328
Nipsnap3b,0.268363338
Nisch,1.077133358
Nmt1;Nmt2,0.342266678
Nob1,0.888233325
Nomo1,0
Nono,1.086980012
Npc1,0.649383353
Npc2,0.832543332
Npm1,1.195666687
Nptn,1.146439999
Nrp1,1.736733354
Nrp2,1.746766937
Nsdhl,0.892816679
Nsf,0.983643312
Nucb1,0.841223353
Nucb2,0.82636333
Nudc,1.070483322
Numa1,0.991553319
Numb,1.118233312
Numbl,0
Nup54,1.388763288
Nup62,1.542599849
Nutf2,0.583676682
Oas1a;Oas1g,0.782020011
Oas3,1.492066614
Oat,0.728110006
Ogdh,0.48005001
ORF3,0.190203329
Osbp,0.169143343
Osbpl11,0.736553333
Osbpl1a,0.838000001
Osbpl6,0.214833365
Osbpl8,1.03957997
Osbpl9,0.622003363
Ostf1,0.862939972
Ostm1,0.692473339
Otud7a,0
Oxct1,0.551876716
P2rx4,0.542733349
P2rx7,1.138653332
P33monox;4833439L19Rik,0.354099988
P4hb,0.916190003
Pa2g4,1.385623336
Pabpc1;Pabpc6,0.821083322
Paics,1.38909999
Paip1,0.367533332
Pak2,0.895766426
Parp1,0.854653328
Parp14,0.9222667
Pcbp1,1.804706285
Pcbp2;Pcbp3,1.473406394
Pcdhb2,0
Pck2,1.067773331
Pcmt1,0.286753341
Pcna,1.341466642
Pcnp,0.70612998
Pcyox1,0.773853328
