Gene names,2015 Dill Complement Early
Capn5,0.893900021
Capns1,1.021443357
Caprin1,1.135436677
Capza1,0.857169991
Capza2,0.932016677
Capzb,0.928986676
Cast,1.086766653
Cat,0.84520998
Cbl,0.697496694
Cbr2,0.347866655
Cbx3,0.370133315
Cc2d1b,0.495736645
Ccdc115,1.418133339
Ccdc12,0.418136658
Ccdc22,0.985920023
Ccdc50,0.272330014
Ccdc53,0.325776675
Ccdc75,1.274566883
Ccdc88b,0
Ccdc93,0.997630002
Cct2,1.068499984
Cct3,1.080190014
Cct4,0.638376679
Cct5,0.342333316
Cct6a,0.927193334
Cct7,0.705989988
Cct8,0.886606659
Ccz1,0.844919995
Cd14,2.019200152
Cd151,0.697686646
Cd180,0.743853311
Cd1d1;Cd1d2,0.740846682
Cd200r1,1.318966697
Cd2ap,0
Cd300a,1.590139773
Cd300lh;OTTMUSG00000003606,1.428866624
Cd36,1.134300004
Cd44,1.984599877
Cd47,1.629499988
Cd48,1.290466655
Cd5l,1.200099956
Cd63,0.542390014
Cd68,0.570930016
Cd72,1.466100014
Cd74,0.750093321
Cd81,1.122233352
Cd82,0.849830017
Cd84,1.869200029
Cd9,1.332566665
Cd93,1.966166484
Cdc42,1.311666689
Cdc42bpb,0.898766661
Cdc42ep4,0.960776688
Cdca3,1.457833303
Cdipt,0.581789979
Cdk1,1.179499952
Cdk14,0.19753667
Cdk18,1.146400032
Cdk2;Cdk3,1.094566663
Cdk5,0.788666693
Cdkn1b,0
Cds2,0.514786658
Cenpe,0
Cep41;Tsga14,0.854366644
Cep55,0.979116657
Cers2;Lass2,0.314616661
Cfl1,1.384699981
Cfp,0
Chchd3,0.83957664
Chd4,0.423000009
Chd6,0
Chi3l3,0.542783378
Chi3l4,0
Chmp1a,0.755849995
Chmp2a,0.842073349
Chmp2b,1.237793372
Chmp4b,0.938700024
Chmp5,0.773630019
Chmp6,0.858540004
Cisd1,0.290033349
Cisd2,0.782730007
Ckap4,1.824199838
Ckap5,1.249733314
Ckb,1.007203322
Clcn5,1.449366687
Clcn6,0
Clcn7,0.741379997
Clec10a;Mgl1;Mgl2,1.485799979
Clec12a,1.569866726
Clec4e,0
Clic1,0.809800011
Clint1,1.286933329
Cln3,0.854283314
Cln5,0.54961661
Clptm1,0.729436678
Clrn2,0.09626669
Clta,0.982110036
Cltc,0.86203001
Cmtm6,0.494366675
Cndp2,1.151033324
Cnn2,0.854706682
Cnot4,0.297213345
Cnp,1.172466661
Cnpy2,0.31034332
Cnpy3,0
Cnpy4,1.641036409
Col4a4,0.813066683
Col6a3,0
Colec12,1.389199997
Commd1,0.92293668
Commd10,0.975886675
Commd2,1.033099996
Commd3,0.881266649
Commd4,0.926143326
Commd5,0.922306679
Commd6,1.045019985
Commd7,1.029326641
Commd8,1.031413316
Commd9,1.139260007
Comt,0.652216662
Copb2,0.761159978
Coro1a,1.671433415
Coro1c,1.326866695
Coro2a,1.288366628
Cotl1,0.429609989
Cox4i1,0.906859986
Cox4nb,0.214456656
Cox5a,0.83124
Cox5b,0.954629992
Cox6a1,0.839139999
Cox6b1,0.928346681
Cox6c,0.834049995
Cox7a2,0.738883378
Cox7c,0.455426677
Cpd,1.35863337
Cpne1,0.979690014
Cpne2,1.188996705
Cpne3,1.51469649
Cpq,0.924496671
Cpt1a,0.47134
Cr1l,1.614799983
Creg1,0.921633317
Crip1,0.955679986
Cs,0.919143338
Csf1,1.32699999
Csf1r,1.180006706
Csf2ra,0
Csk,0
Csnk1a1,0.353833318
Csnk1g3,1.576099817
Csnk2b,0.309023337
Csrp1,0.928396696
Cst3,0.98971331
Cst7,0
Cstb,1.146499981
Ctbs,0.770093316
Ctdsp1,0.658049924
Ctnnd1,1.22353335
Ctsa,0.916046661
Ctsb,0.920163314
Ctsc,0.755253329
Ctsd,0.759339996
Ctsf,0.717836658
Ctsh,0.714553317
Ctsl1,1.072513354
Ctso,0
Ctss,0.833860009
Ctsz,0.785916669
Cttnbp2nl,0.630003306
Cuedc2,0.672416655
Cux1,0
Cwc15,0.593730007
Cxcl2,0
Cyb5a;Cyb5,0.890573346
Cyb5b,1.055823369
Cyb5r3,0.866523352
Cyba,0.966609994
Cybb,0.978389997
Cyc1,0
Cyfip1,1.442366658
Cyp20a1,0.982026659
D10Jhu81e,0.652393337
D10Wsu52e,1.120146653
D17Wsu104e,0.970006707
Dab2,1.402799958
Dad1,1.008706636
Daglb,0.819183324
Dars,0.543833338
Dbi,0.274256667
Dbr1,0.711389991
Ddb1,0
Ddost,1.094199969
Ddrgk1,0
Ddx1,1.113863344
Ddx39b;Ddx39a,1.476899879
Ddx3x;D1Pas1,1.126043307
Ddx3y,0.772623365
Ddx42,1.104926705
Ddx46,0.425266671
Ddx5,0.885989974
Decr1,0
Degs1,1.350833352
Dek,0
Dennd1a,1.08890666
Dhrs1,0.820420007
Dhrs4,1.194969992
Dhrs7,0.991803295
Dhx15,0.353300016
Dhx9,0.410499992
Diap1;Diaph1,0.883586684
Diap2;Diaph2,0.848616695
Dirc2,0.580786716
Dlat,0.785399964
Dld,0.885729958
Dlst,0.859576674
Dmxl1,0.925480013
Dnaja1,1.360599984
Dnaja2,1.464600019
Dnajb11,0.952733311
Dnajb6,1.432533322
Dnajc13,0.97045335
Dnajc3,1.031463328
Dnajc5,0.893796651
Dnajc8,1.161963371
Dnajc9,1.185699972
Dnase1l1,1.596800032
Dnase2;Dnase2a,0.81324
Dnm2,1.188369975
Dnm3,0
Dock2,1.030096663
Dock8,1.177466664
Dok1,0
Dok2,0.784266632
Dok3,0
Dpep2,0.644966708
Dpm1,0
Dpp7,0.892083345
Dpysl2,0.948790016
Dram1,0.80117001
Dram2,0.391120029
Drg1,0.291856661
Dscr3,1.02179
Dstyk,0
Dtx3l,0.569123348
Dusp22,0.389449988
Dusp3,0.781590003
Dync1h1,0.783000004
Dync1i2,0
Dync1li1,0.469309977
Dynll2,0.626956634
E030010N08Rik,0
Ear2;Ear3,0
Ece1,1.260866669
Echs1,1.121333322
Edil3,1.017266702
Eea1,1.507266684
Eef1a1,1.148833355
Eef1b,0.231509997
Eef1d,0.381899993
Eef1g,1.158666689
Eef2,1.201519969
Efhd2,1.087856702
Ehbp1l1,0
Ehd1,0.896669979
Ehd4,0.982236663
Eif1a;Eif1ax,0
Eif2s1,0.694959973
Eif2s3x;Eif2s3y,0.477666663
Eif3d,0.90426002
Eif3l,0
Eif4a1;Eif4a2,1.249400004
Eif4e,1.003683348
Eif4e2,0
Eif4enif1,0.349466681
Eif4g1,1.023113367
Eif4g2,1.114393374
Eif4h,1.050036666
Eif5a;Eif5a2,0.977936648
Eif6,1.037996681
Elavl1,1.519566668
Elmo1,1.205599986
Elmo2,0.183666664
Elovl1,0
Emb,1.466133323
Emd,0.91746668
Emp2,0.488000016
Emr1,1.542500042
Endod1,0.473833301
Eno1,0.940489976
Ensa,0.206153334
Entpd1,1.416399966
Eny2,1.10929
Epb4.1;Epb41,1.664533285
Epb4.1l1;Epb41l1,1.508033372
Epb41l2,1.830300004
Ephx1,0.894090017
Eppk1,0.363733321
Eps15l1,1.238133335
Erap1,0.558966651
Erbb2ip,1.534833369
Ergic1,0.71917667
Erh,0.279980004
Erlin1,0.978529987
Erlin2,0.935486642
Erp29,0.881699995
Erp44,1.057013332
Esd,1.304733341
Esyt1,1.036363301
Esyt2,0.260203342
Etf1,1.30804334
Etfa,0.731843334
Etfb,0.870009984
Etfdh,0
Evi2a,0.355000017
Evi2b,1.718799802
Evl,1.115450013
Ewsr1,0.686670035
Ezr,1.304303338
F13a1,0
Faf2,0
Fam108b1,0.716649996
FAM120A,0
Fam125a,1.036179995
Fam129a,0
Fam129b,1.465666662
Fam168a,0.698183343
Fam177a1,0
Fam195b,0
Fam21,1.150293342
Fam26f,0.567179988
Fam3c,1.04525999
Fam45a,0.815413344
Fam49b,1.165333353
Fam50a,0.764273357
Fam54b,1.151839989
Far1,1.132653329
Farsa,1.101533351
Farsb,0.977933325
Fbln2,0.749333343
Fcer1g,1.206166713
Fcgr1,1.847166841
Fcgr2;Fcgr2b,0.328323324
Fcgr3,1.034900018
Fcgr3P08508,1.425499992
Fcgrt,0.745333337
Fcrls,1.063456661
Fdps,0.786100021
Fen1,1.080113329
Fermt3,1.462266654
Fes,1.190823325
Fh,0.525983331
Fis1,0.610000015
Fkbp15,1.073846667
Fkbp2,0.889863317
Fkbp8,0.71687
Flcn,1.196296646
Flna,0.953650035
Flnc,0.179546678
Flot1,0.73118334
Flot2,0.69370668
Fmnl1,1.196600009
Fn1,0.89022335
Fnbp1,0.214526667
Folr2,1.605333356
Frmd8,0.942760036
FRRS1,0.912096685
Fth1,0.778183312
Ftl1;Ftl2,0.820309998
Fuca1,0.8278
Fuca2,0.959569968
Fus;Taf15,0
Fxyd5,0
Fyb,1.304066664
Fyco1,0
Fyn,1.356866647
G3bp1,1.355433377
G3bp2,1.01344999
G6pdx,1.054326642
Gaa,0.860919973
Gabarap;Gabarapl1,0.647326667
Gabarapl2,0.906133307
Gak,1.002423326
Galc,0.652413354
Galns,0.758049983
Galnt2,1.021566644
Galnt7,1.177066625
Ganab,0.995406668
Gapdh;Gm7293;Gm6316,1.369599999
Gas7,1.068533346
Gba,0.776113336
Gbp5,0.621070006
Gclm,0
Gdap2,0.502389971
Gdi2,0.896566663
Ggh,0.732733344
Ggta1,0.334366679
Gla,0.862859984
Glb1,0.71305665
Glb1l,0
Glg1,0.865063334
Glipr1,1.219093356
Glipr2,1.225269997
Gls,0
Glt25d1,1.66766669
Gltp,0.841936678
Glud1,0.868886654
Gm10036;Rpl11;Gm10288;Gm5093;Gm7589,1.589433355
Gm10119;Rps3a;Gm9000,1.181106659
Gm10126;Rps29,0
Gm10320;Sec61b,0.246413329
Gm13646;Hist1h2bf;Hist1h2bb;Hist1h2bk;Hist1h2bp,1.460266672
Gm14548,1.902833371
