Gene names,2015 Dill Phosphatidylserine Late
Capns1,1.20733332
Caprin1,0.751630004
Capza1,1.122133353
Capza2,1.219100012
Capzb,1.127529964
Cast,1.201633349
Cat,0.329236643
Cbl,0.575936677
Cbr2,0.684563339
Cbx3,0
Cc2d1b,0.958263334
Ccdc115,0.968616623
Ccdc12,1.503033308
Ccdc22,1.277766694
Ccdc50,0
Ccdc53,0.154123365
Ccdc75,0.468066647
Ccdc88b,0
Ccdc93,1.253933313
Cct2,0.815293292
Cct3,0.678663334
Cct4,1.407700041
Cct5,0.867033321
Cct6a,1.395600012
Cct7,0.95512001
Cct8,0.66889
Ccz1,1.288533328
Cd14,0.799616671
Cd151,0
Cd180,1.663166691
Cd1d1;Cd1d2,0.89721997
Cd200r1,0.162053322
Cd2ap,0.856966685
Cd300a,0.838946684
Cd300lh;OTTMUSG00000003606,0.613383296
Cd36,0.824789994
Cd44,0.749783334
Cd47,0.640529977
Cd48,0.464113359
Cd5l,0.731736668
Cd63,0.37556998
Cd68,1.265366619
Cd72,0.628626663
Cd74,1.453756498
Cd81,0.124493343
Cd82,0.147406648
Cd84,0.659010007
Cd9,0.380673295
Cd93,0.767240006
Cdc42,1.158476653
Cdc42bpb,0.911733126
Cdc42ep4,0.729666676
Cdca3,0.834423309
Cdipt,0.309143333
Cdk1,0.641126668
Cdk14,0
Cdk18,0.795613339
Cdk2;Cdk3,0.980333362
Cdk5,1.173663348
Cdkn1b,0
Cds2,0.44930001
Cenpe,0
Cep41;Tsga14,0.343466679
Cep55,0.571620006
Cers2;Lass2,0.278546675
Cfl1,0.98318667
Cfp,0.251763317
Chchd3,0.705980006
Chd4,0.281066672
Chd6,0.995933338
Chi3l3,1.160033338
Chi3l4,0.643676679
Chmp1a,1.281666622
Chmp2a,1.007560021
Chmp2b,0.724659992
Chmp4b,0.841623347
Chmp5,0.597686665
Chmp6,1.646133319
Cisd1,0
Cisd2,0.754433343
Ckap4,1.042150029
Ckap5,1.299856726
Ckb,0.692103322
Clcn5,0.464256652
Clcn6,0
Clcn7,0.99750332
Clec10a;Mgl1;Mgl2,0.840846667
Clec12a,0.648286714
Clec4e,0
Clic1,0.486189995
Clint1,0.585289956
Cln3,1.24666666
Cln5,1.143616679
Clptm1,1.041929983
Clrn2,0.467699989
Clta,1.012583346
Cltc,0.933133342
Cmtm6,0.162086686
Cndp2,0.953083323
Cnn2,0.816809995
Cnot4,0
Cnp,1.255199993
Cnpy2,0
Cnpy3,0.451819985
Cnpy4,0.525980056
Col4a4,0.476673348
Col6a3,0
Colec12,0
Commd1,1.463400006
Commd10,1.124300015
Commd2,1.105599996
Commd3,1.117566667
Commd4,1.049893308
Commd5,1.131736713
Commd6,1.453266678
Commd7,1.175430019
Commd8,0.499496655
Commd9,1.64743335
Comt,1.576400116
Copb2,0.738366678
Coro1a,0.802406665
Coro1c,0.593410005
Coro2a,1.138316666
Cotl1,0.892549997
Cox4i1,0.797383289
Cox4nb,0.67005668
Cox5a,0.912686665
Cox5b,0.985680002
Cox6a1,0.852250007
Cox6b1,0.880293316
Cox6c,0.87890331
Cox7a2,0.522086686
Cox7c,0.307126669
Cpd,0.149990029
Cpne1,1.237866691
Cpne2,1.088706721
Cpne3,0.337130006
Cpq,1.55326664
Cpt1a,0.597000001
Cr1l,0.345160051
Creg1,1.065346668
Crip1,1.511033324
Cs,0.443256609
Csf1,0.241389986
Csf1r,0.406243393
Csf2ra,0
Csk,0
Csnk1a1,0.229979982
Csnk1g3,0.671266635
Csnk2b,0
Csrp1,0.592520003
Cst3,0.499979986
Cst7,0.709026651
Cstb,0.874066653
Ctbs,1.44263332
Ctdsp1,1.223613332
Ctnnd1,0.885190015
Ctsa,1.216766637
Ctsb,1.090009992
Ctsc,1.324366634
Ctsd,1.49369998
Ctsf,1.570766641
Ctsh,1.61183333
Ctsl1,1.132633336
Ctso,0.419366667
Ctss,1.394300019
Ctsz,1.168596705
Cttnbp2nl,0.48974998
Cuedc2,0.698410003
Cux1,0.450700014
Cwc15,0.828626691
Cxcl2,0
Cyb5a;Cyb5,1.168166698
Cyb5b,1.149480013
Cyb5r3,0.88196667
Cyba,1.040016682
Cybb,0.99898336
Cyc1,0
Cyfip1,0.736746667
Cyp20a1,1.093826692
D10Jhu81e,0.180450006
D10Wsu52e,0.234983327
D17Wsu104e,0.760000044
Dab2,0.893389979
Dad1,1.179756675
Daglb,1.014613361
Dars,0
Dbi,0.570593333
Dbr1,0.657846647
Ddb1,0.275036672
Ddost,1.329733267
Ddrgk1,0.451066672
Ddx1,0.255426674
Ddx39b;Ddx39a,0.925033324
Ddx3x;D1Pas1,0.677529997
Ddx3y,0.499439977
Ddx42,0.633379984
Ddx46,0.798313331
Ddx5,0.724966657
Decr1,0
Degs1,0.74979001
Dek,0
Dennd1a,0.756523323
Dhrs1,1.093566672
Dhrs4,0
Dhrs7,1.003323334
Dhx15,0
Dhx9,0
Diap1;Diaph1,0.494603412
Diap2;Diaph2,1.000973306
Dirc2,1.246866669
Dlat,0.121543319
Dld,0.651923346
Dlst,0.623276678
Dmxl1,1.03810331
Dnaja1,0.887383348
Dnaja2,0.273826656
Dnajb11,1.118133304
Dnajb6,0.940360021
Dnajc13,0.484073345
Dnajc3,0.92654333
Dnajc5,1.061376672
Dnajc8,0.569930004
Dnajc9,0.751130008
Dnase1l1,0.64504667
Dnase2;Dnase2a,1.170546675
Dnm2,0.760403347
Dnm3,0.288553333
Dock2,0.609299988
Dock8,0.206336649
Dok1,1.028733324
Dok2,1.249486649
Dok3,2.47259991
Dpep2,0
Dpm1,1.07012666
Dpp7,1.334633287
Dpysl2,0.777560008
Dram1,1.233630019
Dram2,0.707670015
Drg1,0
Dscr3,1.371966711
Dstyk,0.501933346
Dtx3l,0.186773347
Dusp22,0.549866649
Dusp3,0
Dync1h1,0.944856681
Dync1i2,0
Dync1li1,0.511133339
Dynll2,0.676570006
E030010N08Rik,0
Ear2;Ear3,1.849266595
Ece1,0.36961669
Echs1,0.56197333
Edil3,0.789426607
Eea1,0.351413398
Eef1a1,1.098666706
Eef1b,0
Eef1d,0.783156653
Eef1g,1.045666703
Eef2,0.983813306
Efhd2,0.849500014
Ehbp1l1,0
Ehd1,2.045266703
Ehd4,1.94089958
Eif1a;Eif1ax,0
Eif2s1,0.261616674
Eif2s3x;Eif2s3y,0.366266637
Eif3d,0.591533313
Eif3l,0
Eif4a1;Eif4a2,0.954100026
Eif4e,0.804166688
Eif4e2,0
Eif4enif1,0.272490002
Eif4g1,0.389783273
Eif4g2,0.573013339
Eif4h,0.762866677
Eif5a;Eif5a2,0.901456649
Eif6,1.01777333
Elavl1,0.838066644
Elmo1,0.771503312
Elmo2,0.664566665
Elovl1,0.436466671
Emb,0.660486692
Emd,1.833266538
Emp2,0.502370003
Emr1,0.749600046
Endod1,0.845559997
Eno1,0.78322332
Ensa,0
Entpd1,0.651956674
Eny2,1.031536668
Epb4.1;Epb41,0.757093333
Epb4.1l1;Epb41l1,0.815800006
Epb41l2,0.675736667
Ephx1,1.027866672
Eppk1,0.185433332
Eps15l1,0.77040667
Erap1,2.250367308
Erbb2ip,0
Ergic1,0.659199978
Erh,0.506399993
Erlin1,1.229433335
Erlin2,1.159506687
Erp29,1.008483333
Erp44,0.903369996
Esd,0.55976334
Esyt1,0.686000015
Esyt2,0.142209968
Etf1,0.882360016
Etfa,0.469183348
Etfb,0.569470016
Etfdh,0
Evi2a,0.29582663
Evi2b,0.626260038
Evl,1.386166696
Ewsr1,0.390933304
Ezr,0.551726661
F13a1,0
Faf2,0
Fam108b1,1.327133329
FAM120A,0
Fam125a,0.766
Fam129a,0
Fam129b,0.964013337
Fam168a,0.27380333
Fam177a1,0
Fam195b,0
Fam21,0.731310013
Fam26f,1.636699877
Fam3c,0.695523352
