Gene names,2015 Dill Mannan Late
Capn2,1.322573357
Capn5,0.46118335
Capns1,1.094566674
Caprin1,0.98248667
Capza1,1.038876669
Capza2,1.105433357
Capzb,1.131800022
Cast,1.077823315
Cat,0.294619955
Cbl,0.688656635
Cbr2,0.712933346
Cbx3,0.463433326
Cc2d1b,1.203126717
Ccdc115,0.786033323
Ccdc12,2.414766909
Ccdc22,1.329866654
Ccdc50,0.300826674
Ccdc53,0.284943344
Ccdc75,0.849033339
Ccdc88b,0
Ccdc93,1.198133348
Cct2,0.555443337
Cct3,0.670093336
Cct4,0.649783319
Cct5,0.918299983
Cct6a,1.145413356
Cct7,0.841266707
Cct8,0.560489987
Ccz1,1.192853349
Cd14,0.64488663
Cd151,0.402196625
Cd180,1.661300075
Cd1d1;Cd1d2,1.145939995
Cd200r1,0
Cd2ap,0.768133374
Cd300a,0.827110033
Cd300lh;OTTMUSG00000003606,0.54745003
Cd36,0.788386674
Cd44,0.751269999
Cd47,0.675330063
Cd48,0.488673312
Cd5l,0.766079963
Cd63,0.612753302
Cd68,1.281833285
Cd72,0.566486711
Cd74,1.139533359
Cd81,0.370373362
Cd82,0.430216714
Cd84,0.622116669
Cd9,0.544519993
Cd93,0.678006658
Cdc42,1.187889964
Cdc42bpb,0
Cdc42ep4,0.650913364
Cdca3,0.938216651
Cdipt,0.852600025
Cdk1,0.648259995
Cdk14,0
Cdk18,0.816816682
Cdk2;Cdk3,0
Cdk5,2.038300333
Cdkn1b,0
Cds2,0.67290668
Cenpe,0.117456666
Cep41;Tsga14,0.442100018
Cep55,0.717043345
Cers2;Lass2,0
Cfl1,1.082796672
Cfp,0.731216671
Chchd3,0.680423344
Chd4,0
Chd6,0.384600008
Chi3l3,1.043720019
Chi3l4,0.327156663
Chmp1a,1.196593366
Chmp2a,1.403966694
Chmp2b,0.810156657
Chmp4b,1.068500048
Chmp5,0.823076655
Chmp6,1.605500002
Cisd1,0.186490003
Cisd2,0.647526666
Ckap4,0.804333333
Ckap5,0.529066669
Ckb,0.854489993
Clcn5,0.373273361
Clcn6,0.152213318
Clcn7,1.04105666
Clec10a;Mgl1;Mgl2,0.513613296
Clec12a,0.644069995
Clec4e,0
Clic1,0.553950005
Clint1,0.514456687
Cln3,1.370066674
Cln5,1.040533373
Clptm1,0.607443329
Clrn2,1.237013297
Clta,1.121999997
Cltc,0.952840034
Cmtm6,0
Cndp2,1.278
Cnn2,1.250073434
Cnot4,0
Cnp,1.233266645
Cnpy2,0.844099993
Cnpy3,0.521666673
Cnpy4,0.270790032
Col4a4,0.227546673
Col6a3,0
Colec12,0
Commd1,1.2074
Commd10,1.187833325
Commd2,1.049406649
Commd3,1.180716678
Commd4,1.31179002
Commd5,1.139716663
Commd6,1.514333338
Commd7,1.283300003
Commd8,1.111933336
Commd9,1.517800015
Comt,2.124966757
Copb2,0.931689996
Coro1a,0.873713337
Coro1c,0.888313321
Coro2a,0.67130998
Cotl1,0.983800028
Cox4i1,0.784076652
Cox4nb,0.719309992
Cox5a,0.84877996
Cox5b,0.976019977
Cox6a1,0.843823357
Cox6b1,0.993016637
Cox6c,0.686393371
Cox7a2,0.858279994
Cox7c,0.711703345
Cpd,0.600766686
Cpne1,0.511086636
Cpne2,0.65767666
Cpne3,0.370290012
Cpq,1.366266636
Cpt1a,0
Cr1l,0.225373329
Creg1,1.05407664
Crip1,2.517799689
Cs,0.477779978
Csf1,0.182012691
Csf1r,0.391526661
Csf2ra,0
Csk,0
Csnk1a1,0.614026667
Csnk1g3,0.332799991
Csnk2b,0
