Gene names,2015 Dill IgG Early
Capn5,1.679466709
Capns1,1.086433313
Caprin1,1.531333362
Capza1,0.863986657
Capza2,0.774576658
Capzb,0.960693349
Cast,1.127733319
Cat,0.828019993
Cbl,0.456319971
Cbr2,0
Cbx3,0.3796
Cc2d1b,0.212546661
Ccdc115,1.277406667
Ccdc12,0.476096666
Ccdc22,0.738930015
Ccdc50,0
Ccdc53,0.260089993
Ccdc75,0.946823338
Ccdc88b,0
Ccdc93,0.742293333
Cct2,0.764563325
Cct3,1.05560335
Cct4,0.573480006
Cct5,0
Cct6a,0.905303298
Cct7,0.279033337
Cct8,0
Ccz1,0.616260007
Cd14,2.84846648
Cd151,1.54110002
Cd180,0.579400002
Cd1d1;Cd1d2,0.561486672
Cd200r1,1.786299885
Cd2ap,1.074599998
Cd300a,2.536467099
Cd300lh;OTTMUSG00000003606,1.405766692
Cd36,1.191733309
Cd44,3.025600191
Cd47,1.704899993
Cd48,1.650000007
Cd5l,1.100663311
Cd63,0.567606683
Cd68,0.46450334
Cd72,1.938433433
Cd74,0.630883347
Cd81,1.083730028
Cd82,1.211266681
Cd84,2.752166523
Cd9,2.318433224
Cd93,2.475999757
Cdc42,1.483799998
Cdc42bpb,0.976200052
Cdc42ep4,0.837203338
Cdca3,1.097626689
Cdipt,0.668566652
Cdk1,1.044233347
Cdk14,0.369566681
Cdk18,0.972283315
Cdk2;Cdk3,0.510183342
Cdk5,0.969150023
Cdkn1b,0
Cds2,0.296990008
Cenpe,0
Cep41;Tsga14,0.627083323
Cep55,1.04325003
Cers2;Lass2,1.486033265
Cfl1,1.132033404
Cfp,0.772679965
Chchd3,0.669693329
Chd4,0.53696669
Chd6,0
Chi3l3,0.381523272
Chi3l4,0
Chmp1a,0.342749991
Chmp2a,0.778266658
Chmp2b,1.050776664
Chmp4b,0.677250006
Chmp5,0.723636677
Chmp6,1.052989966
Cisd1,0.290393325
Cisd2,0.663380003
Ckap4,1.701266628
Ckap5,2.222899686
Ckb,0.687996638
Clcn5,1.582733361
Clcn6,0.247866671
Clcn7,0.618263345
Clec10a;Mgl1;Mgl2,1.929333523
Clec12a,1.885466486
Clec4e,0.664966653
Clic1,0.31752334
Clint1,1.950633603
Cln3,0.638053326
Cln5,0.394486665
Clptm1,0.70281
Clrn2,0
Clta,1.032889991
Cltc,0.921173333
Cmtm6,1.433000002
Cndp2,1.041830027
Cnn2,0.867183339
Cnot4,0
Cnp,1.094866686
Cnpy2,0.218066672
Cnpy3,0.214360012
Cnpy4,0.480826682
Col4a4,0
Col6a3,0.333366672
Colec12,1.708199926
Commd1,0.819450005
Commd10,0.65589332
Commd2,0.914323366
Commd3,0.713899977
Commd4,0.720493347
Commd5,0.74731999
Commd6,0.824070015
Commd7,0.80221998
Commd8,1.231386669
Commd9,0.773916675
Comt,0.83015001
Copb2,0.858806704
Coro1a,1.57396663
Coro1c,1.435166675
Coro2a,0.803810048
Cotl1,0.311750005
Cox4i1,1.059566663
Cox4nb,0.727149998
Cox5a,0.774336664
Cox5b,0.984596683
Cox6a1,0.850320006
Cox6b1,0.915533347
Cox6c,0.98988002
Cox7a2,0.547143344
Cox7c,0.856439987
Cpd,0.404433329
Cpne1,0.663570015
Cpne2,0.924746643
Cpne3,1.12927
Cpq,0.581223364
Cpt1a,0.771943283
Cr1l,2.37230036
Creg1,0.601136659
Crip1,0.95180665
Cs,0.857713364
Csf1,0.71476666
Csf1r,1.531033384
Csf2ra,0
Csk,0
Csnk1a1,1.251899982
Csnk1g3,0.41790001
Csnk2b,1.700466309
Csrp1,0.913283337
Cst3,0.72228666
Cst7,0
Cstb,0.80755667
Ctbs,0.489410032
Ctdsp1,0.846116672
