Gene names,2015 Dill LPS Early
Caprin1,1.591333502
Capza1,1.140900005
Capza2,1.235733315
Capzb,1.286866642
Cast,1.042436645
Cat,0.611053313
Cbl,0.341233334
Cbr2,0.302060009
Cbx3,0
Cc2d1b,0.747343334
Ccdc115,1.347366632
Ccdc12,0.818416659
Ccdc22,1.079206699
Ccdc50,0.383299999
Ccdc53,0.340600014
Ccdc75,0.64423336
Ccdc88b,0
Ccdc93,1.038859982
Cct2,0.522489984
Cct3,1.059903336
Cct4,0.381199993
Cct5,1.199266652
Cct6a,0.818486671
Cct7,0.453100025
Cct8,0.797633344
Ccz1,0.834689993
Cd14,2.542333153
Cd151,0.702936683
Cd180,0.81163333
Cd1d1;Cd1d2,1.011609969
Cd200r1,1.672966695
Cd2ap,0.185756667
Cd300a,2.036066889
Cd300lh;OTTMUSG00000003606,1.41616665
Cd36,1.233433369
Cd44,2.904466543
Cd47,1.759066961
Cd48,1.525166679
Cd5l,0.354200005
Cd63,0.530526717
Cd68,0.653936669
Cd72,1.867300024
Cd74,0.881546654
Cd81,1.3504333
Cd82,0.377366667
Cd84,2.476800116
Cd9,2.049399611
Cd93,1.939233261
Cdc42,1.399266692
Cdc42bpb,0.80056667
Cdc42ep4,0.87653
Cdca3,1.412453072
Cdipt,0.216266663
Cdk1,1.379569963
Cdk14,0.514833344
Cdk18,2.351166831
Cdk2;Cdk3,0.249733333
Cdk5,0.98512993
Cdkn1b,0
Cds2,0.305236649
Cenpe,0.22270334
Cep41;Tsga14,1.2064665
Cep55,1.41249995
Cers2;Lass2,0.828900017
Cfl1,1.522566653
Cfp,0.740066671
Chchd3,0.445920006
Chd4,0
Chd6,0.803680029
Chi3l3,0.485276626
Chi3l4,0
Chmp1a,1.011300007
Chmp2a,0.959263337
Chmp2b,1.164316651
Chmp4b,0.679099992
Chmp5,0.71349999
Chmp6,1.190233355
Cisd1,0.301279998
Cisd2,0.701903345
Ckap4,1.414600007
Ckap5,1.293933384
Ckb,1.066499979
Clcn5,1.660866672
Clcn6,0
Clcn7,0.751359976
Clec10a;Mgl1;Mgl2,1.828399787
Clec12a,1.765233328
Clec4e,1.562466732
Clic1,1.093620009
Clint1,0.926626681
